Timestamp,1. Độ tuổi của bạn?,2. Giới tính:,3. Bạn hiện đang học tập hay làm việc trong lĩnh vực nào?,"4. Tần suất bạn sử dụng ChatGPT là bao nhiêu?
Từ câu hỏi này trở đi, vui lòng chọn các đáp án theo hiểu biết rằng bạn đã nghe tới ChatGPT (có thể từ chính khảo sát này).",1. Bạn đã nghe đến ChatGPT từ đâu?,"2. Trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên công việc/học tập của bạn là bao nhiêu?",3. Bạn đã/sẽ sử dụng Chat GPT trong tình huống/công việc nào dưới đây? (Vui lòng chọn tối đa 4 ô),"5. Trên thang điểm 5, bạn sẵn sàng giới thiệu ChatGPT cho người khác là bao nhiêu?",,"2. Theo bạn, ChatGPT có khả năng gây ra các vấn đề liên quan đến quyền riêng tư và an ninh thông tin cho cá nhân bạn không?","3.  Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc tổ chức những chương trình/workshop hướng dẫn bạn sử dụng ChatGPT trong học tập/công việc là bao nhiêu?","4. Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên điểm số/chất lượng bài tập của bạn như thế nào? 

(VD: Điểm số/Chất lượng bài tập khi dùng ChatGPT có thể sẽ cao hơn điểm số/chất lượng bài tập khi không dùng ChatGPT)","5. Giả sử bạn là học sinh, trên thang điểm 5, bạn đánh giá việc sử dụng ChatGPT sẽ ảnh hưởng thế nào tới sự chênh lệch điểm số/năng lực giữa các học sinh với nhau? 

(VD: Học sinh sử dụng ChatGPT sẽ có điểm số cao hơn, được đánh giá giỏi hơn những học sinh không sử dụng)","1. ChatGPT đã bị cấm tại một số quốc gia bởi đội ngũ phát triển hoặc Chính phủ như Ý, Nga và Triều Tiên. 

Bạn đánh giá thế nào việc cho phép học sinh/sinh viên Việt Nam sử dụng ChatGPT trong học tập?","2. Trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc cung cấp thông tin về ứng dụng ChatGPT cho công chúng và các lưu ý liên quan từ cơ quan Chính phủ là bao nhiêu?

(VD: Bài viết giới thiệu/hướng dẫn qua các kênh như Thông tin Chính phủ, VTV24 hoặc các báo đài tương tự)","3. Trên thang điểm 5, bạn đánh giá sự cần thiết của những Quy định cụ thể do Bộ Giáo dục & Đào tạo ban hành để đảm bảo rằng ChatGPT không bị lạm dụng hoặc sử dụng sai mục đích trong trường học ở Việt Nam là bao nhiêu?","4. Một số trường trung học phổ thông, cao đẳng, đại học và sau đại học trên thế giới đã sử dụng công nghệ (VD: mô hình trí tuệ nhân tạo ZeroGPT) để phát hiện việc sử dụng ChatGPT trong bài kiểm tra và bài tập. 

Trên thang điểm 5, bạn đánh giá sự cần thiết của việc áp dụng hình thức tương tự tại Việt Nam là bao nhiêu?","Anh/chị/bạn có nhận xét, đánh giá gì khác về khảo sát muốn chia sẻ với nhóm nghiên cứu không?"
10/05/2023 20:33:49,Từ 18 đến 25 tuổi,Nữ,"Báo chí, Thông tin & Truyền thông",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,4,Cần tìm hiểu thêm,3,4,4,5,5,4,5,
10/05/2023 20:39:17,Từ 18 đến 25 tuổi,Nữ,Chính trị,Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",3,"Dịch, tóm tắt, và paraphrase tài liệu",4,3,Cần tìm hiểu thêm,5,2,2,4,2,4,3,Chúc nhóm đạt được kết quả như mong đợi
10/05/2023 22:15:31,Từ 18 đến 25 tuổi,Nữ,"Báo chí, Thông tin & Truyền thông",Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",5,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập",5,5,Không,5,4,3,4,2,2,4,
12/05/2023 08:52:40,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu",4,4,Có,5,4,4,5,4,4,4,
12/05/2023 08:59:27,Từ 26 đến 35 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Không,4,3,3,4,3,3,3,
12/05/2023 09:00:25,Từ 26 đến 35 tuổi,Nam,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",3,3,Cần tìm hiểu thêm,4,2,2,4,3,3,3,Khảo sát hữu ích
12/05/2023 13:09:07,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng tháng,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",3,3,Cần tìm hiểu thêm,4,1,2,3,4,4,4,
12/05/2023 19:00:55,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng tuần,"Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,3,Cần tìm hiểu thêm,5,4,2,4,5,5,5,
13/05/2023 16:09:39,Từ 18 đến 25 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,2,Cần tìm hiểu thêm,4,4,4,4,4,5,3,
13/05/2023 16:11:58,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",2,"Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",2,2,Không,3,1,2,2,2,3,5,
13/05/2023 18:23:31,Từ 18 đến 25 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập",5,3,Cần tìm hiểu thêm,5,4,4,4,5,5,3,
